"","p8582_mo1","p8582_mo10","p8582_mo11","p8582_mo12","p8582_mo2","p8582_mo3","p8582_mo4","p8582_mo5","p8582_mo6","p8582_mo7","p8582_mo8","p8582_mo9","p8585_mo1","p8585_mo2","p8585_mo3","p8585_mo4","p8585_mo6","p8585_mo7","p8585_mo8","p8585_mo9","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8600_mo8","p8600_mo9","p8646_mo1","p8646_mo10","p8646_mo11","p8646_mo12","p8646_mo2","p8646_mo3","p8646_mo4","p8646_mo5","p8646_mo6","p8646_mo7","p8646_mo8","p8646_mo9","p8649_mo1","p8649_mo10","p8649_mo11","p8649_mo12","p8649_mo2","p8649_mo3","p8649_mo4","p8649_mo5","p8649_mo6","p8649_mo7","p8649_mo8","p8649_mo9","p8712_mo1","p8712_mo10","p8712_mo11","p8712_mo12","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8748_mo10","p8748_mo11","p8748_mo12","p8748_mo4","p8748_mo5","p8748_mo6","p8748_mo7","p8748_mo8","p8748_mo9","p8775_mo1","p8775_mo10","p8775_mo11","p8775_mo12","p8775_mo2","p8775_mo3","p8775_mo4","p8775_mo5","p8775_mo6","p8775_mo7","p8775_mo8","p8775_mo9","p8808_mo10","p8808_mo11","p8808_mo12","p8808_mo4","p8808_mo5","p8808_mo6","p8808_mo7","p8808_mo8","p8808_mo9","p8816_mo1","p8816_mo10","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo8","p8816_mo9","p8855_mo10","p8855_mo11","p8855_mo12","p8855_mo3","p8855_mo4","p8855_mo8","p8855_mo9","p8883_mo10","p8883_mo11","p8883_mo12","p8883_mo2","p8883_mo3","p8883_mo4","p8883_mo6","p8883_mo7","p8883_mo8","p8883_mo9","p9061_mo1","p9061_mo2","p9061_mo3","p9061_mo4","p9061_mo5","p9061_mo6","p9061_mo7","p9061_mo8","p9193_mo1","p9193_mo2","p9193_mo4","p9193_mo5","p9193_mo6","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p9220_mo1","p9220_mo2","p9220_mo3","p9220_mo4","p9220_mo5","p9220_mo6","p9220_mo7","p9223_mo1","p9223_mo2","p9223_mo3","p9223_mo4","p9223_mo5","p9223_mo6","p9223_mo7","p9223_mo8","p9281_mo1","p9281_mo2","p9281_mo3","p9281_mo4","p9281_mo5","p9281_mo6","SKST006_1_G102959","SKST006_10_G102994","SKST006_2_G102960","SKST006_3_G102961","SKST006_4_G102962","SKST006_5_G102963","SKST006_6_G102964","SKST006_7_G102965","SKST006_9_G103014","SKST007_1_G102966","SKST007_2_G102967","SKST007_3_G102949","SKST007_4_G102948","SKST007_6_G102995","SKST007_7_G103016","SKST007_8_G102999","SKST010_1_G102968","SKST010_2_G102969","SKST010_3_G102970","SKST010_4_G102956","SKST010_5_G102990","SKST010_6_G103004","SKST010_7_G103003","SKST010_8_G102998","SKST011_1_G102971","SKST011_2_G102972","SKST011_3_G102973","SKST011_4_G102952","SKST011_5_G102993","SKST011_6_G103002","SKST011_7_G103017","SKST011_8_G103000","SKST012_1_G102974","SKST012_2_G102975","SKST012_3_G102950","SKST012_4_G102954","SKST012_5_G102992","SKST012_6_G102997","SKST014_1_G102976","SKST014_2_G102977","SKST014_3_G102978","SKST014_4_G102979","SKST014_5_G102980","SKST014_6_G102951","SKST014_7_G102940","SKST023_1_G102981","SKST023_2_G102987","SKST023_3_G102941","SKST023_4_G102937","SKST023_5_G103007","SKST023_6_G103009","SKST023_7_G103015","SKST024_1_G102982","SKST024_2_G102953","SKST024_3_G102944","SKST024_4_G102938","SKST024_5_G103001","SKST024_6_G103012","SKST024_7_G103022","SKST024_8_G103031","SKST025_1_G102983","SKST025_2_G102986","SKST025_3_G102942","SKST025_4_G102939","SKST025_5_G103006","SKST025_6_G103010","SKST025_9_G103021","SKST027_1_G102984","SKST027_10_G102936","SKST027_11_G102996","SKST027_12_G103011","SKST027_2_G102985","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST032_1_G102943","SKST032_2_G102946","SKST032_3_G102989","SKST032_4_G103008","SKST032_5_G103024","SKST036_1_G103013","SKST036_2_G103020","SKST036_3_G103025","SKST037_2_G103023","SKST037_3_G103026","SKST041_1_G103005","SKST041_2_G103027","SKST041_3_G103028"
"k__Bacteria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.96744,99.99013,99.59401,99.12024,98.71674,99.96622,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79805,100,100,100,100
"k__Bacteria|p__Firmicutes",60.79777,34.41559,35.59889,49.09568,58.38373,59.34621,32.44427,63.9664,74.54963,59.28153,43.56479,50.23852,66.22634,61.99632,62.28179,79.39988,33.55782,42.56984,38.12869,38.19915,60.70683,47.37485,34.46117,32.54726,73.29563,89.78009,45.28159,61.62234,72.46642,38.65715,45.12216,51.4433,90.91788,49.75603,51.64927,47.28697,89.05957,90.60682,53.60876,68.69045,50.09973,70.22101,67.77435,50.26501,51.15033,31.89594,15.74997,26.74214,40.26863,30.94361,37.97838,67.30846,29.75377,14.1683,28.87292,19.74995,53.18816,40.24192,65.14905,41.46762,48.86631,33.1526,42.98854,28.31431,27.86539,35.97363,41.2753,44.08183,48.2739,50.28789,49.61535,24.29077,52.5903,62.25949,28.5746,40.53915,53.72008,41.78995,50.52853,47.07036,40.38448,38.44927,50.88102,54.8101,47.11636,55.89306,41.24631,57.85733,29.39411,96.80165,93.02426,94.43185,93.46848,89.33367,93.30579,96.95402,97.88583,95.68804,70.38445,59.99987,64.79458,36.97016,73.73779,56.58365,57.18722,51.24914,62.77894,67.61033,52.44014,55.3885,96.80351,80.19762,76.74572,75.17427,84.96715,90.58571,67.14108,66.19596,33.08031,20.85097,35.05438,33.63079,38.67846,38.05883,31.33868,21.37217,54.55753,32.77416,28.61838,23.02924,33.51697,32.39104,21.44431,36.33834,21.29954,54.24446,15.8614,30.15801,46.98615,47.08558,43.67032,31.7539,65.33771,35.53624,35.8726,33.73934,40.44414,33.63308,31.74348,52.93438,42.15388,45.45598,56.38305,38.30783,36.61449,33.23501,25.54075,32.82549,32.13457,25.78033,49.2147,31.13745,30.8676,39.56207,29.83708,33.70974,55.98506,57.91226,37.72697,53.01798,10.21988,100,0,0,53.75058,3.47932,88.85026,89.70439,10.13154,16.44775,6.47557,33.12473,17.87633,63.06329,30.68206,12.77636,52.63969,33.23556,51.03366,26.00648,36.7512,28.6015,32.32146,21.72229,28.53822,28.69972,27.81292,32.26872,32.28223,19.59739,15.38625,12.97745,32.60964,24.66674,24.56243,32.02692,23.33092,32.40294,100,68.11583,37.04569,5.97548,83.26274,76.07548,97.4397,19.0868,9.89435,85.66337,87.84547,2.73684,81.91779,74.27775,7.66455,40.28396,55.92546,48.86906,2.59005,43.49676,16.41702,31.40153,33.47298,45.75879,43.67707,45.78815,13.3781,34.81153,2.14999,10.37817,51.90645,77.12409,47.76116,16.66874,13.1928,30.32889,40.23755,57.0603,41.98397,9.04855,22.88656,11.90563,29.02383,16.78309,32.20308,15.64598,75.9638,77.55171,59.28149,59.85844,51.6389
"k__Bacteria|p__Bacteroidetes",33.4053,50.20479,55.48931,44.36626,34.59511,26.86031,58.80808,21.49495,11.66676,25.6297,43.67144,43.47916,0.82793,25.13366,19.18532,4.7498,59.43457,47.46624,52.29594,56.3297,37.89,51.86073,61.21727,56.5934,24.12464,0.50237,51.75667,29.19406,20.34656,57.88053,53.09414,46.41346,6.6541,42.57908,40.77554,45.49063,4.52569,4.88507,29.53169,21.81972,44.90934,25.16875,18.57973,38.43734,43.16178,57.68622,67.50894,63.60242,27.9425,58.21575,47.33027,0.07025,57.10539,64.02557,45.3261,51.95386,31.13744,29.27082,27.299,38.89645,27.49815,39.74483,39.33262,41.28582,20.48302,49.0106,24.07929,12.96697,43.47716,42.15289,36.44735,67.18287,25.06384,21.90134,57.637,52.20613,41.79677,48.05262,38.06174,48.91894,55.70426,58.28403,46.36124,38.52912,43.5927,37.9032,55.25626,32.00174,67.35735,0.10377,0.00522,0.04479,0.02665,0.03844,0.02368,0.01958,0.02643,0.05892,24.63897,38.53727,31.47359,56.62643,23.38221,38.23543,37.83479,43.19769,31.24427,28.46932,45.80621,42.098,0.0565,0.01178,0.03007,0.0266,3.37123,0.03432,0.02744,30.27353,60.58454,72.29735,52.4257,59.20117,51.92924,56.71865,62.43403,70.17951,42.63527,66.40813,68.29434,76.11019,64.52709,66.08039,78.14295,62.40963,76.89294,40.10513,80.21752,65.3402,45.86673,46.92501,54.42005,63.31645,34.66229,53.34933,62.63867,63.59569,57.69906,64.27099,65.02828,29.73992,48.43534,30.40025,33.52756,40.80056,11.3774,58.15778,71.96668,62.27956,63.07346,72.67558,48.41778,66.85621,66.2708,59.18934,65.32061,63.54049,42.2299,39.14006,57.67038,7.30914,37.46041,0,45.39589,100,0.40591,0,0.00978,0,0,80.54387,91.51576,64.96584,80.80983,27.96135,58.39782,86.31009,33.33019,63.53427,10.10597,70.71333,59.13979,69.92963,65.6026,76.46887,67.65993,65.9891,70.31978,66.04937,62.09017,69.48532,58.25578,74.53998,64.19478,67.45902,73.20947,64.01041,73.1151,57.18196,0,0.52029,59.38365,88.69709,0.82126,22.01976,0.26589,79.48447,89.25955,8.95792,8.58429,97.02214,11.5662,23.14387,84.25946,7.66331,24.8584,19.57188,95.0171,17.28514,63.56479,29.50074,56.16742,17.7536,4.37276,0.22613,82.55577,0.13151,95.98248,84.94615,0,1.5573,0.11464,79.31059,65.57879,50.88695,0,0.89614,53.1935,85.50385,69.88214,79.92552,69.11057,81.39003,51.45236,81.03011,21.26503,22.44829,39.12371,39.90685,48.1406
"k__Bacteria|p__Verrucomicrobia",2.14742,9.50913,5.27659,2.62354,2.21165,8.2,1.06512,9.25728,5.7003,6.53212,7.68043,1.63405,0,0.00685,0.0031,0.00301,0.55237,0.00056,0,0.36334,0,0,0,0.01693,0,0.01322,0.00827,0.07096,0.13038,0.01301,0.01025,0.02195,0.00701,0,0,0,0.00547,0.00282,0.02594,0.00013,0,0.00054,0,0,0,3.6312,0,0,0,0,0,0.00769,0.00034,8.38998,9.80074,1.76446,0.01234,0,0,0,0,0,0.00244,0,0,0,0,0,0,0.01753,0.00671,0.28506,0,0,0.03847,0.01432,0,0.00255,0.10756,1.07166,0.08507,0.00129,0,2.37741,4.24759,0.59262,1.00038,0.32125,0.53189,0,0,0,0,0,0,0,0,0,1.47358,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13687,1.10816,0.10355,0,0.09516,0.11547,0,0,0,0,0,0,0,0,0,0.00333,0,0.00818,0.00312,0.03572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0.08991,0.1069,0.06464,0.01602,0.04496,0.04451,0.22633,0.03251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65159,1.15113,0.00626,0.27466,1.73373,0.01036,0,0.77561,1.61121,5.6024,0.66308,2.40029,0,0.01746,0.00979,1.01591,3.42064,0.7251,0.19698,1.95572,9.18309,24.57321,7.55034,0.03136,0.16169,0.0301,0,2.63237,4.94891,0,0,0,0,0,0,0.12864,0,0,0,0,0,0,0,7.08048,49.02323,14.99667,26.78486,2.26762,35.69096,16.46984,38.32051,0,0,0,0,0,0,0,0,0,0,0,0.52144,10.08782,13.46265,0,0.42062,0,0,0,7.25869,1.56855,0,0,0,0.0182,0,0,0,0.02476
"k__Bacteria|p__Proteobacteria",1.93151,2.78015,1.47216,2.31061,2.42781,2.65453,7.15445,0.30585,0.4829,1.40714,2.80009,1.95921,0.2348,0.1676,0.05915,0.08172,0.21209,0.28854,0.61393,0.17913,0.51177,0.03188,0.00434,0.00384,0.78432,2.39699,0.1671,0.38151,3.36558,0.09092,0.04633,0.02782,0.1027,4.19474,1.79445,2.12064,0.00861,0.32087,1.80655,2.24426,3.00917,1.48015,10.49153,1.14561,0.91589,0.59147,10.99341,0.25311,0.38391,0.15743,1.95629,30.95079,0.2125,0.104,1.34312,0.59493,1.79646,1.96321,0.59906,2.83123,1.68317,1.57644,6.65631,1.81002,1.92947,2.82316,1.81008,2.06534,1.15466,0.7629,0.85856,1.25586,0.94756,1.09719,1.28674,1.53953,0.82837,0.10919,1.40993,0.41997,0.58776,0.08431,0.07879,0.09518,0.27845,0.57459,0.11282,0.21035,1.09225,0.3724,3.19846,0.21305,0.54327,1.16611,1.56053,0.6229,0.38697,0.52063,0.56279,0.4383,0.85432,1.5953,0.68691,1.28044,0.37856,0.63552,1.35654,0.73929,0.33931,0.29171,0.84875,1.93374,5.00248,14.78445,3.27195,0.99284,7.60603,0.83578,3.96237,3.97086,3.48211,2.2097,0.87314,2.44544,4.05376,5.2592,1.14076,0.063,0.19734,0.05255,0.05985,0.003,0,0.00278,0.0173,2.45046,1.50274,1.47849,0.64344,1.57024,1.36421,2.06283,0,2.69989,1.02562,2.19247,1.17304,1.75484,2.84219,3.93071,0.48984,10.15236,0.16078,4.31349,1.07466,0.10408,0.20965,0.4026,0.33719,0.33126,0.58401,0.68733,0.42904,0.28537,1.40126,0.30168,0.03599,0.15151,0.23328,1.83245,51.11427,0,0,0,42.2424,96.52068,0.08128,6.20577,56.44753,2.09643,0.84123,1.83609,0.79805,6.70484,10.62226,0.88621,4.49429,1.47256,4.48415,0.61407,1.22896,0.4322,1.13772,1.04241,2.19316,1.69392,0.79797,0.86646,0.73377,0.6415,1.5929,3.85902,1.28876,2.16079,1.10257,0.51459,0.1271,0.82976,0,20.13132,1.27298,1.43962,9.76979,0.50542,0,1.38443,0.84188,0,0.24589,0.23192,0.07187,1.55232,0.96126,0.01003,0.02119,0.80344,0.06702,0.05621,2.70526,0.02359,5.75517,0.93781,4.15756,0.01688,3.65302,0,1.84684,4.67568,48.08415,10.74579,20.07627,2.92364,10.4796,4.85148,45.69839,2.49308,3.36925,3.92644,5.49513,0.33132,0.07629,0.89205,0,0.99901,1.43969,0,0,0.13251,0.04249
"k__Bacteria|p__Actinobacteria",1.718,3.01123,2.16305,1.60392,2.3817,2.93895,0.52808,4.97552,7.60041,7.14952,2.26109,2.68905,32.71093,12.69558,18.47064,15.76558,6.24315,9.67482,8.96143,4.92868,0.89141,0.73127,4.3157,10.83858,1.79541,7.30733,2.78637,8.73113,3.69106,3.3584,1.72712,2.09347,2.31831,3.47015,5.78074,5.10175,6.40066,4.18441,15.02706,7.24544,1.98176,3.12955,3.15439,10.15204,4.77051,6.18157,5.29146,9.40232,31.40372,10.68276,12.73233,1.66281,12.92801,13.31171,14.65712,25.9368,13.8656,28.52404,6.95289,16.8047,21.95237,25.52613,11.02008,28.58984,49.72212,12.19261,32.83534,40.88585,7.09427,6.77878,13.07204,6.98544,21.39831,14.74198,12.46319,5.70087,3.65478,10.04569,9.89224,2.51908,3.23844,3.1811,2.67713,4.18296,4.75749,5.03653,2.38212,9.6037,1.62439,2.72218,3.77206,5.3103,5.9616,9.46177,5.11,2.4035,1.70077,3.73241,2.9402,1.02456,2.87752,4.80811,2.18982,3.89904,4.59943,4.91765,4.61849,3.18106,1.41434,2.22179,2.29124,17.85687,18.22173,10.01468,8.38967,8.38713,25.22545,2.69472,2.37278,2.88082,8.90094,3.85018,8.41561,2.77708,2.07837,3.07365,1.66644,0.75471,2.88994,0.80802,1.89608,1.52557,0.41274,1.24925,1.79022,2.07572,2.40847,2.60913,5.61821,3.10018,0.51164,2.86681,0,8.41454,0.46311,0.4725,0.68376,0.34109,0.38605,13.395,8.92094,13.9914,9.92861,16.5778,50.93344,8.50314,2.19301,4.38545,4.39014,1.1968,1.73856,1.27451,2.20623,0.93071,3.44105,2.44809,1.74906,2.79616,4.36937,37.84043,0,0,54.60411,0,3.60111,0,11.05869,4.08984,33.42093,0.26036,0.0163,0.06708,0.24112,0.53679,0.2875,0.02734,8.76022,0.1464,28.77382,2.00304,0.47977,1.03667,0.92076,0.75664,0.59278,0.19662,0.34424,0.61846,2.93565,1.0927,0.19187,1.07321,1.87547,5.55176,1.09542,3.44808,0.7945,4.63643,0,9.54425,2.29768,1.99421,3.62848,1.39933,2.16577,0.0443,0.00422,5.37871,3.32436,0.0091,6.44414,1.02606,0.03425,3.01948,4.19829,3.97077,0.05821,3.47092,0.8431,0.75364,4.60443,35.5498,47.79261,53.96884,0.41311,65.05696,0.02069,0,0.0094,10.09551,32.04792,0.5756,0.66099,0.47003,14.06407,39.12985,1.45328,1.52116,1.73617,0.57397,0.22076,0.93483,16.34456,2.32491,1.0743,0,1.59481,0.1022,0.15325
"k__Bacteria|p__Firmicutes|c__Clostridia",60.25251,33.76397,35.39329,48.58513,57.72128,59.04127,32.06961,63.55512,74.17078,58.9021,43.1212,50.12285,32.38048,25.03462,13.66073,41.68569,23.43348,30.99739,23.28971,28.56687,56.02902,42.82167,32.41116,28.58975,66.99229,78.32783,36.0101,53.09611,65.39792,34.71177,42.39021,48.21202,89.81915,48.42226,50.82205,46.70831,88.11791,89.02,51.35488,64.92871,48.1717,67.86974,66.47341,47.44297,41.78492,30.92939,7.37368,25.55036,36.13463,29.11561,35.55057,2.09281,28.56621,13.36353,26.54116,19.08007,50.54522,35.51576,60.54269,38.54952,47.09537,26.25473,39.56134,17.62773,25.95922,33.63281,28.53792,20.83562,46.45383,48.91057,46.51759,22.39386,48.39665,59.9375,25.63704,39.63126,52.78297,39.14724,31.52123,44.69523,38.71836,37.16942,47.19401,51.86615,41.13604,50.62014,39.70944,55.53986,28.16794,96.48633,71.41978,87.57927,91.19532,87.03425,91.66197,95.19096,95.91209,93.92185,67.9963,55.0323,59.05628,34.78192,61.0473,44.29994,37.73896,46.21395,59.01674,63.13651,49.78914,53.01486,93.20484,75.90705,68.49851,58.02258,72.83596,83.86209,58.51454,64.60827,32.59596,19.97981,33.65702,31.1636,37.40484,37.05963,28.60766,18.85267,53.11296,31.25254,24.0286,22.40432,31.15623,30.31641,20.89372,34.72865,20.50076,51.98774,14.77073,28.18468,42.94539,45.24754,42.86064,31.00002,65.33771,34.65942,33.55486,28.04451,37.84541,32.57931,29.95424,52.17156,39.98738,43.80356,54.80613,36.6265,33.00988,32.31674,21.71906,29.20344,27.80305,24.64082,46.0735,29.03259,29.95606,37.71202,29.47994,33.34627,55.46782,57.47542,37.17717,45.41985,0,0,0,0,0,0.0853,0,0.01841,3.5726,16.29968,6.3375,32.82951,17.76666,62.05042,30.13444,12.60399,52.12454,33.11485,44.10225,25.25912,36.17083,27.6272,31.03352,21.21929,27.24312,28.49572,27.62761,30.95435,32.01595,19.29287,14.75735,12.63102,25.32728,23.60272,23.22785,27.38199,22.45575,31.06514,0,2.01127,33.36068,4.57396,67.39795,68.20559,64.90454,18.67919,9.80173,84.96902,86.92922,2.72912,81.05208,71.44479,7.62695,39.25701,55.28768,46.79261,2.56077,42.03052,16.1611,30.37174,32.77533,43.27761,40.5901,44.55093,13.16268,33.64954,2.1113,10.37817,18.61796,18.63849,0,12.12222,9.88919,27.66125,0,2.39139,25.79099,8.06776,21.11687,9.45385,27.64695,12.78932,30.58748,13.45688,68.10415,77.55171,58.80352,59.20849,51.35578
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",33.4053,50.20479,55.48931,44.36626,34.59511,26.86031,58.80808,21.49495,11.66676,25.6297,43.67144,43.47916,0.82793,25.13366,19.18532,4.7498,59.43457,47.46624,52.29594,56.3297,37.89,51.86073,61.21727,56.5934,24.12464,0.50237,51.75667,29.19406,20.34656,57.88053,53.09414,46.41346,6.6541,42.57908,40.77554,45.49063,4.52569,4.88507,29.53169,21.81972,44.90934,25.16875,18.57973,38.43734,43.16178,57.68622,67.50894,63.60242,27.9425,58.21575,47.33027,0.07025,57.10539,64.02557,45.3261,51.95386,31.13744,29.27082,27.299,38.89645,27.49815,39.74483,39.33262,41.28582,20.48302,49.0106,24.07929,12.96697,43.47716,42.15289,36.44735,67.18287,25.06384,21.90134,57.637,52.20613,41.79677,48.05262,38.06174,48.91894,55.70426,58.28403,46.36124,38.52912,43.5927,37.9032,55.25626,32.00174,67.35735,0.10377,0.00522,0.04479,0.02665,0.03844,0.02368,0.01958,0.02643,0.05892,24.63897,38.53727,31.47359,56.62643,23.38221,38.23543,37.83479,43.19769,31.24427,28.46932,45.80621,42.098,0.0565,0.01178,0.03007,0.0266,3.37123,0.03432,0.02744,30.27353,60.58454,72.29735,52.4257,59.20117,51.92924,56.71865,62.43403,70.17951,42.63527,66.40813,68.29434,76.11019,64.52709,66.08039,78.14295,62.40963,76.89294,40.10513,80.21752,65.3402,45.86673,46.92501,54.42005,63.31645,34.66229,53.34933,62.63867,63.59569,57.69906,64.27099,65.02828,29.73992,48.43534,30.40025,33.52756,40.80056,11.3774,58.15778,71.96668,62.27956,63.07346,72.67558,48.41778,66.85621,66.2708,59.18934,65.32061,63.54049,42.2299,39.14006,57.67038,7.30914,37.46041,0,45.39589,100,0.40591,0,0.00978,0,0,80.54387,91.51576,64.96584,80.80983,27.96135,58.39782,86.31009,33.33019,63.53427,10.10597,70.71333,59.13979,69.92963,65.6026,76.46887,67.65993,65.9891,70.31978,66.04937,62.09017,69.48532,58.25578,74.53998,64.19478,67.45902,73.20947,64.01041,73.1151,57.18196,0,0.52029,59.38365,88.69709,0.82126,22.01976,0.26589,79.48447,89.25955,8.95792,8.58429,97.02214,11.5662,23.14387,84.25946,7.66331,24.8584,19.57188,95.0171,17.28514,63.56479,29.50074,56.16742,17.7536,4.37276,0.22613,82.55577,0.13151,95.98248,84.94615,0,1.5573,0.11464,79.31059,65.57879,50.88695,0,0.89614,53.1935,85.50385,69.88214,79.92552,69.11057,81.39003,51.45236,81.03011,21.26503,22.44829,39.12371,39.90685,48.1406
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",2.14742,9.50913,5.27659,2.62354,2.21165,8.2,1.06512,9.25728,5.7003,6.53212,7.68043,1.63405,0,0.00685,0.0031,0.00301,0.55237,0.00056,0,0.36334,0,0,0,0.01693,0,0.01322,0.00827,0.07096,0.13038,0.01301,0.01025,0.02195,0.00701,0,0,0,0.00547,0.00282,0.02594,0.00013,0,0.00054,0,0,0,3.6312,0,0,0,0,0,0.00769,0.00034,8.38998,9.80074,1.76446,0.01234,0,0,0,0,0,0.00244,0,0,0,0,0,0,0.01753,0.00671,0.28506,0,0,0.03847,0.01432,0,0.00255,0.10756,1.07166,0.08507,0.00129,0,2.37741,4.24759,0.59262,1.00038,0.32125,0.53189,0,0,0,0,0,0,0,0,0,1.47358,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13687,1.10816,0.10355,0,0.09516,0.11547,0,0,0,0,0,0,0,0,0,0.00333,0,0.00818,0.00312,0.03572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0.08991,0.1069,0.06464,0.01602,0.04496,0.04451,0.22633,0.03251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65159,1.15113,0.00626,0.27466,1.73373,0.01036,0,0.77561,1.61121,5.6024,0.66308,2.40029,0,0.01746,0.00979,1.01591,3.42064,0.7251,0.19698,1.95572,9.18309,24.57321,7.55034,0.03136,0.16169,0.0301,0,2.63237,4.94891,0,0,0,0,0,0,0.12864,0,0,0,0,0,0,0,7.08048,49.02323,14.99667,26.78486,2.26762,35.69096,16.46984,38.32051,0,0,0,0,0,0,0,0,0,0,0,0.52144,10.08782,13.46265,0,0.42062,0,0,0,7.25869,1.56855,0,0,0,0.0182,0,0,0,0.02476
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",1.718,2.04571,1.67526,1.58654,2.37986,2.74649,0.52808,3.8868,4.73479,3.61711,1.96051,1.83709,2.21264,8.0124,2.5093,9.32169,2.97768,3.48282,3.30958,1.9992,0.52336,0.65778,1.56906,1.60803,1.69171,7.12632,1.54767,4.18048,2.97195,2.29381,1.66465,1.66097,2.31831,1.40752,1.20062,1.9048,6.40066,2.52589,1.15359,3.66142,1.93091,0.93889,1.77499,2.23135,4.32887,4.98106,0.15727,5.95985,9.83579,6.64704,5.76854,0,8.8319,10.78332,8.25219,11.49603,1.08081,2.6783,0.43625,4.2877,1.13292,1.47294,4.27208,1.66409,6.262,4.25402,5.55567,3.72804,1.78109,1.86052,1.71153,2.64364,6.91638,3.39963,2.40304,2.51199,1.4943,7.82895,3.31214,1.07163,1.36338,2.32113,1.89774,3.56821,4.09089,3.37387,1.34688,2.56829,1.52957,2.36011,0.00268,0.91091,4.57536,7.31862,4.7842,2.12166,1.5667,3.2516,2.93349,1.02456,2.87752,2.09982,2.10611,3.58337,3.41294,2.40857,4.61728,3.17806,1.41434,2.22179,0,5.91884,13.53387,0.00242,0.38795,0,0,0.43612,0.72017,2.24017,0.66557,0.4812,0.20596,0.55068,0.33629,0.7537,0.2657,0.75256,2.21753,0.79862,1.70373,1.31082,0.40547,1.09211,1.42231,1.43719,0.59126,0.9289,1.6869,0.84675,0.12935,0.33119,0,0.91498,0.43573,0.44447,0.58938,0.31408,0.36012,3.59838,3.57145,8.53512,6.75299,11.79462,19.49944,5.08352,0.68759,1.71067,0.90684,0.64846,0.82783,0.6199,0.72299,0.31656,1.83199,1.3222,0.91102,1.47632,2.07016,0,0,0,0,0,2.49422,0,0,0,0,0.26036,0.0163,0.05781,0.24112,0.30407,0.2875,0.02319,2.6165,0.03346,1.47887,0.43771,0.11803,0.02312,0.20731,0.28578,0.26565,0.04295,0.0382,0.0625,0.43869,0.09548,0,0.06284,1.02903,2.10164,0.36391,1.33749,0.11597,0.87297,0,0.53977,0,0.86829,0.39674,0.01272,1.04377,0.02444,0.00422,1.75877,1.21734,0,3.70738,0.4685,0.00327,0.74837,1.55931,2.4358,0,2.13621,0.37931,0.42798,0.15682,1.39873,1.55715,1.79741,0.00556,1.95105,0.00116,0,0,1.72696,0,0,0.62788,0.35998,0,0.88655,0,0.03593,0,0,0,0.00861,1.85136,0.40326,0.17242,0,0.23265,0.0313,0.07357
