"","M01.1-V1-stool","M01.1-V2-stool","M01.1-V3-stool","M01.2-V1-stool","M01.2-V2-stool","M01.2-V3-stool","M01.3-V1-stool","M01.3-V2-stool","M01.3-V3-stool","M01.4-V1-stool","M01.4-V2-stool","M01.4-V3-stool","M01.5-V2-stool","M01.5-V3-stool","M02.1-V1-stool","M02.1-V2-stool","M02.1-V3-stool","M02.2-V1-stool","M02.2-V2-stool","M02.2-V3-stool","M02.3-V1-stool","M02.3-V2-stool","M02.3-V3-stool","M02.4-V1-stool","M02.4-V2-stool","M02.4-V3-stool","M02.5-V1-stool","M02.5-V2-stool","M03.1-V2-stool","M03.1-V3-stool","M03.3-V1-stool","M03.3-V2-stool","M03.3-V3-stool","M03.4-V1-stool","M03.4-V2-stool","M03.4-V3-stool","M03.5-V1-stool","M03.5-V2-stool","M04.1-V1-stool","M04.1-V3-stool","M04.2-V1-stool","M04.2-V2-stool","M04.2-V3-stool","M04.3-V1-stool","M04.3-V3-stool","M04.4-V1-stool","M04.4-V3-stool","M04.5-V1-stool","M04.5-V2-stool","M04.5-V3-stool","M04.6-V1-stool","M04.6-V2-stool","M04.6-V3-stool"
"k__Bacteria",99.47712,99.77166,99.54407,99.99784,99.79372,99.97758,100,100,100,98.78121,98.304,99.74964,98.32172,99.34186,99.99366,99.9895,99.99261,100,100,100,100,100,100,100,100,100,99.93272,99.83971,99.62288,99.15547,100,100,100,99.97767,99.41372,99.29321,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.93669,98.18285
"k__Archaea",0.52288,0.22834,0.45593,0.00216,0.20628,0.02242,0,0,0,1.21879,1.696,0.25036,1.67828,0.65814,0.00634,0.0105,0.00739,0,0,0,0,0,0,0,0,0,0,0,0.37712,0.84453,0,0,0,0.02233,0.58628,0.70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06331,1.81715
"k__Bacteria|p__Firmicutes",53.77712,50.34953,51.64568,55.59174,62.28517,65.59591,45.99806,56.95539,33.85233,43.14571,53.69126,26.79789,42.56996,32.06221,48.36681,39.81923,53.8632,80.24289,71.53629,71.49416,29.17224,24.64698,21.81627,52.24536,36.94544,35.46093,59.87708,59.07852,44.75003,46.72687,34.73342,29.86411,27.35833,49.04197,42.50619,58.46768,34.77029,36.97485,13.20894,34.05555,33.65659,24.66321,18.84843,38.55688,21.52103,31.44366,21.35284,25.55873,42.33356,19.57397,23.42032,24.79917,61.91067
"k__Bacteria|p__Bacteroidetes",37.79552,46.16071,40.07862,37.81485,32.41927,31.08654,49.04297,39.2809,61.50404,50.81379,31.42296,71.67384,50.68096,62.32767,35.8236,57.53018,34.83053,18.20122,26.19681,25.24959,65.16145,70.66368,73.03227,40.04579,38.68615,53.70176,37.84319,37.59922,48.1887,43.21971,38.30119,49.39915,39.09433,45.94729,51.91678,28.40001,63.95411,60.08202,76.39223,56.24514,61.32674,58.51968,79.09246,55.97989,76.59458,59.82274,77.20023,58.1027,38.76758,79.13148,74.2351,74.32193,33.76476
"k__Bacteria|p__Actinobacteria",4.89574,1.19105,4.21938,3.2499,1.64347,1.56213,3.22284,2.50979,2.20584,1.40568,5.32273,0.47549,3.39589,2.54221,1.90196,0.69474,1.98908,1.22307,0.93184,0.83729,0.27,0.15747,0.13483,1.61352,0.64837,2.92408,1.9053,1.13402,4.47491,5.1427,16.49717,17.71193,29.77669,3.9006,3.63425,11.67767,1.2756,2.74061,8.52816,8.96492,4.04141,16.11672,1.72127,5.25713,1.75421,4.9526,1.34368,9.14562,17.07931,1.23289,1.2183,0.5628,2.29222
"k__Bacteria|p__Proteobacteria",2.71975,0.89827,2.4352,3.25095,2.10797,1.60855,1.73612,1.25392,2.43778,1.68161,1.03353,0.79029,0.54995,1.08928,13.90128,1.94536,9.09599,0.33281,1.33506,2.41897,1.42222,0.73016,1.35002,1.24292,14.21061,1.63617,0.21636,0.18866,1.96852,2.28149,1.88541,1.49612,1.14622,1.06461,1.33333,0.72462,0,0.20252,1.87067,0.71577,0.44859,0.69957,0.32508,0.16008,0.12846,3.781,0.0994,7.19295,1.81896,0.06167,0.97656,0.25279,0.2152
"k__Archaea|p__Euryarchaeota",0.52288,0.22834,0.45593,0.00216,0.20628,0.02242,0,0,0,1.21879,1.696,0.25036,1.67828,0.65814,0.00634,0.0105,0.00739,0,0,0,0,0,0,0,0,0,0,0,0.37712,0.84453,0,0,0,0.02233,0.58628,0.70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06331,1.81715
"k__Bacteria|p__Verrucomicrobia",0.24315,1.06257,1.09285,0.0904,1.33783,0.12444,0,0,0,1.60464,6.77206,0.01212,1.09501,1.31798,0,0,0.21381,0,0,0,3.95668,3.77209,3.63869,4.44781,9.19045,6.0141,0.09078,1.83929,0.24073,1.7847,8.58281,1.52869,2.62444,0,0,0,0,0,0,0,0,0,0,0.04602,0,0,0,0,0,0,0.14973,0,0
"k__Bacteria|p__Lentisphaerae",0.04584,0.10953,0.07234,0,0,0,0,0,0,0.12741,0.06145,0,0,0,0,0,0,0,0,0,0.01741,0.02962,0.02791,0.00243,0.20219,0.02385,0,0,0,0,0,0,0,0.0232,0.02317,0.02323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia",47.21262,41.287,41.32306,53.09178,61.54586,64.76229,45.6209,55.23172,33.36369,38.65892,49.80114,22.01221,40.67664,30.88223,46.81609,38.50372,52.98774,78.56047,68.86524,68.90193,28.14401,23.71396,21.29813,49.1973,33.55097,30.59696,57.94197,57.50647,42.55518,41.14386,31.19174,27.6705,25.40951,46.26873,39.43167,53.52748,33.27579,34.09732,8.42278,30.88074,31.29823,21.22729,18.0099,31.65803,19.16525,28.55305,18.19724,20.60753,32.19142,16.55004,11.8253,21.98278,57.53476
