"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria",99.94073,99.96223,99.86531,100,99.99773,100,100,99.99835,100,99.31189,99.51217,99.93135,99.87139,99.89679,99.45714,100,100,99.99263,100,100,100,100,100,100,98.12334,99.39927,99.98199,99.99196,99.97782,99.78211,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.91664,99.80162,99.9603,100,100,100,100,100,100,100,99.99641,100
"k__Archaea",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes",74.20145,84.48082,79.76514,83.64509,80.10413,72.23172,77.51896,83.31895,68.76785,80.65595,90.38572,82.94584,88.05402,87.87285,81.30999,73.81594,92.95369,87.98678,88.34369,81.68135,82.37251,64.7419,88.843,84.74739,37.87227,44.25108,70.89203,25.5654,29.625,51.32105,85.99292,84.49257,91.29858,74.89848,77.74417,23.10555,82.21474,89.16969,84.02922,45.34006,29.91048,67.94443,55.73483,60.22548,76.17299,82.57959,84.17536,81.74031,71.78214,69.37595,71.95195,81.27524,85.08547,89.1293,92.67445,96.41467,92.39477,85.78802,90.06837,89.01286,72.1152,67.36996,76.78425,68.38004,68.2093,73.13921,89.13676,84.50978,89.58464,87.74905,89.66813,85.06246
"k__Bacteria|p__Firmicutes",20.95944,14.62041,18.8964,14.79964,18.06089,25.81152,22.06749,15.08928,31.08958,13.87746,5.22784,10.88971,9.19305,9.35842,14.13823,19.33032,2.87342,11.16324,9.33296,15.93295,14.03082,18.02902,8.00134,10.9043,42.07596,31.38138,21.76317,64.10914,62.15679,41.28792,12.19803,12.49145,6.78285,16.30601,17.13122,19.07496,14.81319,4.89584,12.61754,51.24961,65.99813,29.30982,42.70468,38.3627,19.00442,15.47265,13.84655,17.48256,26.07722,28.98866,26.62581,17.96025,13.62614,10.5825,6.96797,1.26164,6.19882,11.94772,9.5369,3.75747,18.6256,16.05,16.68653,23.30404,17.17276,15.53344,6.10821,11.56959,6.72442,10.52576,8.03205,14.36116
"k__Bacteria|p__Actinobacteria",2.66547,0.12645,0.76799,0.95608,0.03238,1.75588,0.35179,0.02345,0.14257,2.74557,2.65884,3.34684,0.97922,0.48671,1.89837,0.43288,0.15999,0.42925,1.56743,0.05512,1.10512,6.71588,0.22581,0.83214,0.8618,0.05516,0.47049,3.87439,2.4043,2.24916,0.85843,0.00494,0.33042,1.17816,0.04821,3.30901,0.17474,0.02593,0.38654,1.92637,2.82098,1.48463,0.45993,1.00092,1.01791,0.84895,0.72549,0.11997,0.1751,0.33453,0.28166,0.74211,1.26046,0.27057,0.30905,0.02397,0.33795,1.95516,0.28613,0.52324,7.27043,14.81026,2.86252,0.80474,0.93419,1.30324,0.27341,0.58313,0.49547,0.89498,0.52598,0.32997
"k__Bacteria|p__Proteobacteria",2.11437,0.73373,0.43578,0.59919,1.80034,0.20088,0.06177,1.56667,0,1.96171,1.23452,2.7327,1.64163,2.15499,1.85515,6.42086,3.83724,0.41215,0.75592,2.33057,0.23871,4.54544,2.92929,3.51206,1.60848,7.8972,0.84336,1.51057,1.01409,1.58326,0.95062,3.01104,1.58745,1.59181,0.78422,10.34098,2.78828,5.90853,2.96296,1.46765,1.22691,1.25951,0.58933,0.3925,0.26297,0.59543,0.45936,0.65665,1.96554,1.2998,1.14031,0.01881,0.02759,0.01763,0.04853,2.2554,1.06846,0.30139,0.0957,6.51857,1.9054,1.57139,3.25336,2.51522,4.23724,2.77201,4.48162,3.33682,3.19547,0.83021,1.77024,0.24616
"k__Archaea|p__Euryarchaeota",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",74.20145,84.48082,79.76514,83.64509,80.10413,72.23172,77.51896,83.31895,68.76785,80.65595,90.38572,82.94584,88.05402,87.87285,81.30999,73.81594,92.95369,87.98678,88.34369,81.68135,82.37251,64.7419,88.843,84.74739,37.87227,44.25108,70.89203,25.5654,29.625,51.32105,85.99292,84.49257,91.29858,74.89848,77.74417,23.10555,82.21474,89.16969,84.02922,45.34006,29.91048,67.94443,55.73483,60.22548,76.17299,82.57959,84.17536,81.74031,71.78214,69.37595,71.95195,81.27524,85.08547,89.1293,92.67445,96.41467,92.39477,85.78802,90.06837,89.01286,72.1152,67.36996,76.78425,68.38004,68.2093,73.13921,89.13676,84.50978,89.58464,87.74905,89.66813,85.06246
"k__Bacteria|p__Firmicutes|c__Clostridia",19.50479,14.60366,18.74697,9.70113,17.93437,16.13119,20.52541,15.06327,30.31116,12.36111,4.99377,10.18407,8.41552,8.40606,12.49772,17.9474,2.87342,9.84077,6.74234,15.06567,9.31461,13.71726,7.77666,9.5299,37.77707,26.95907,20.40119,62.75465,60.8108,38.13859,10.26704,12.19147,6.18384,13.95493,17.03657,17.36714,14.61268,4.86598,12.03086,46.507,59.25354,26.97805,41.30185,34.26509,18.14185,14.89692,13.26951,16.83435,25.712,28.21752,25.84128,16.73272,12.34925,9.84962,5.46965,1.20713,4.47178,10.32145,9.42446,2.18428,17.82897,14.55029,16.03258,22.05347,15.44313,13.87278,5.81566,10.93149,6.19125,9.10294,7.64465,12.66884
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",1.86368,0.05926,0.41685,0.48062,0,1.12782,0,0.02168,0.04127,2.69703,2.3888,3.27605,0.00044,0.164,0.71124,0.39506,0.15999,0.21749,0.91602,0,0.86325,5.43843,0.19772,0.53794,0.12405,0.01912,0.11475,1.39634,0.97725,1.77915,0.35847,0.00183,0,0.04471,0,0.06876,0.04285,0,0.21343,0.86502,1.0239,0.28598,0.37172,0.95135,0.99607,0.04508,0.03185,0.06831,0.01534,0.02617,0.0224,0.02988,0,0,0.26511,0.02358,0.28695,0.68795,0.00263,0.16407,5.74241,11.70825,2.08218,0.21392,0.37135,0.6465,0.09746,0.36863,0.33523,0.73565,0.48574,0.13984
