"","MM001.1","MM001.2","MM001.3","MM001.4","MM002.1","MM002.2","MM003.1","MM003.2","MM004.1","MM004.2","MM005.1","MM005.2","MM005.3","MM006.1","MM006.2","MM007","MM008.1","MM008.2","MM008.3","MM009.1","MM009.2","MM010","MM011","MM012.1","MM012.2","MM013.1","MM013.2","MM013.3","MM014","MM015.1","MM015.2","MM016.1","MM016.2","MM016.3","MM017","MM018","MM019.1","MM019.2","MM019.3","MM020.1","MM020.2","MM020.3","MM021.1","MM021.2","MM021.3","MM021.4","MM022.1","MM022.2","MM022.3","MM023.1","MM023.2","MM024.1","MM024.2","MM024.3","MM025","MM026.1","MM026.2","MM027.1","MM027.2","MM027.3","MM028.1","MM028.2","MM029.1","MM029.2","MM029.3","MM030.1","MM030.2","MM031","MM032.1","MM032.2","MM032.3","MM032.4","MM033.1","MM033.2","MM033.3","MM033.4","MM034.1","MM034.2","MM034.3","MM035.1","MM035.2","MM036","MM037.1","MM037.2","MM038","MM039","MM040.1","MM040.2","MM041.1","MM041.2","MM042.1","MM042.2","MM043.1","MM043.2","MM044.1","MM044.2","MM045.1","MM045.2","MM046.1","MM046.2","MM046.3","MM047.1","MM047.2","MM047.3","MM048.1","MM048.2","MM049.1","MM049.2","MM050.1","MM050.2","MM050.3","MM050.4","MM051","MM052.1","MM052.2","MM053","MM054.1","MM054.2","MM055.1","MM055.3","MM055.4","MM055.5","MM055.6","MM055.7","MM056.1","MM056.2","MM057.1","MM057.10","MM057.11","MM057.12","MM057.2","MM057.3","MM057.4","MM057.5","MM057.6","MM057.7","MM057.8","MM057.9","MM058.1","MM058.2","MM059.1","MM059.2","MM060.1","MM060.2","MM061","MM062.1","MM062.2","MM063","MM064.1","MM064.2","MM065","MM066","MM068.1","MM068.2","MM069","MM070.1","MM070.2","MM070.3","MM071.2","MM071.3","MM072.1","MM072.2","MM074.1","MM074.2","MM075.1","MM075.2","MM077","MM078","MM079.1","MM079.2","MM080","MM081","MM082","MM083.1","MM083.2","MM083.3","MM083.4","MM083.5","MM084","MM085.1","MM085.2","MM086.2","MM086.3","MM086.5","MM086.6","MM087.1","MM087.2","MM088","MM089.1","MM089.2","MM090.1","MM090.2","MM090.3","MM091.1","MM091.2","MM091.3","MM091.4","MM092","MM093","MM094.1","MM094.2","MM096","MM098.1","MM098.10","MM098.11","MM098.12","MM098.13","MM098.14","MM098.15","MM098.2","MM098.3","MM098.4","MM098.5","MM098.6","MM098.7","MM098.8","MM098.9","MM099.1","MM099.2","MM099.3","MM099.4","MM100.1","MM100.2","MM101.1","MM101.2","MM103.1","MM103.2","MM103.3","MM104"
"k__Bacteria",100,100,99.99216,100,100,97.27472,100,100,100,98.18009,99.86112,100,100,100,100,100,99.99272,99.8513,99.99004,100,99.97731,100,100,100,99.97052,99.14077,100,100,98.40142,99.81275,99.88944,99.99394,100,99.95812,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99503,100,100,99.99365,100,100,100,100,100,100,99.40044,100,100,99.95677,97.15223,99.99692,99.92068,100,100,100,99.57754,98.9532,100,100,100,100,100,100,100,100,97.21008,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74783,99.49311,100,100,100,95.25924,100,100,100,100,100,95.44145,99.62732,99.29558,100,99.99459,100,100,100,100,100,99.99326,98.27055,99.98249,95.35414,100,100,100,100,100,100,99.93739,100,100,100,99.74352,100,100,99.67546,100,100,100,100,100,100,99.96903,99.9486,100,99.99381,99.55885,95.95026,99.96377,100,100,100,99.99762,100,100,99.99227,100,100,100,100,100,70.52653,100,99.02524,99.9686,100,100,99.6872,99.99807,100,100,100,100,100,100,100,100,100,100,99.23216,100,99.99746,100,99.97354,100,100,99.79611,100,99.98332,100,100,100,99.94288,99.81,99.99013,99.96444,100,100,99.86102,99.80449,99.9489,100,76.4958,99.9176,99.19166,100,96.02558,100,100,100,95.42783,98.35849,96.44453,88.84065,98.66646,58.08774,99.19011,96.83774,67.32135,100,99.90978,99.69464,100,100,99.40153,98.84316,98.10097,98.82055
"k__Bacteria|p__Actinobacteria",39.991,1.65565,1.80129,2.82077,7.60931,4.60947,32.31765,21.31988,2.82686,2.05948,10.78482,9.01232,2.06333,18.60547,0,1.9019,0.61825,3.30451,4.1489,2.61731,5.38105,15.02868,0.88203,6.61937,2.23222,11.37373,0.92479,8.24553,2.81813,0.50779,0.84062,0.6889,1.27561,3.53039,2.56046,1.8203,4.08189,1.28823,1.99282,0.70178,3.09902,0.41542,1.85582,0.53537,1.25399,10.42092,3.51344,0.21033,2.96798,4.17143,3.1639,3.33257,4.2089,1.90421,12.95221,0.79751,2.77442,2.04236,4.76351,5.86654,0.4477,0.06667,0.77972,2.45064,4.71305,0.16765,10.56274,0.669,2.1281,1.8925,0.51775,11.93485,1.25602,7.10392,1.19892,1.30144,1.28927,5.22709,3.20927,5.85825,14.51758,4.69862,0.6811,3.36934,1.56678,5.8716,1.4918,0.26142,7.75374,2.98819,3.49354,1.90316,0.68043,1.11449,6.25234,22.95037,9.73539,25.36283,0.6534,9.9788,4.32384,12.83141,0.8025,0.57495,1.97562,0.97285,3.21358,0.45254,3.61151,2.09918,2.57281,6.73706,1.83039,0.85588,0.63128,6.76895,28.38595,1.99758,0.24713,0.22398,5.17836,5.52111,3.17104,0.20368,0.86263,4.8359,0,0.01394,0.0551,0.02246,0,0.12526,0,0.42143,0.42711,0.19323,0.00867,1.88134,2.29985,3.3723,4.52505,2.60003,2.71179,0.37061,4.37839,0,0.3111,1.34789,1.77027,0.38666,1.04864,3.91348,0.15837,6.22487,27.71148,1.1483,0.00366,4.78823,0.75873,0.49683,6.386,3.59191,0.55417,0.10434,2.94831,1.6791,9.97198,0.09938,2.19047,0.44627,0.53907,0.37542,20.32359,2.73369,3.58791,2.72858,3.88116,1.51617,0.29215,1.8687,2.99991,0.07267,0.28207,0.32712,0.4415,2.51757,0.12612,21.48215,10.381,18.34153,6.50054,2.95335,0.44797,5.29924,0.53907,0.61895,1.0274,1.38775,0.17032,7.33898,29.71147,0.60624,20.32668,0.16806,0,0,0,0.06578,0.03521,0,27.05781,0,0,0,0.57986,1.0539,0,28.61329,17.2054,2.62387,0.34267,10.55639,2.5999,3.07867,4.11546,48.73551,2.84507,7.77732,24.87166
"k__Bacteria|p__Bacteroidetes",28.80533,24.34843,69.2072,55.0055,59.93842,38.4318,10.60902,16.8022,85.0548,63.34371,34.84714,23.16061,44.79503,35.57679,2.75452,2.3858,76.55385,21.37684,70.1369,54.16656,11.01583,67.34937,64.1945,2.91958,52.17677,12.56676,54.27641,13.52788,49.09413,30.39001,60.80112,16.98603,39.45908,71.67074,53.00572,35.4761,10.63267,95.72488,25.53442,65.15426,71.27588,79.65969,84.836,67.85606,75.52586,66.28991,66.93188,65.23025,57.55567,17.37721,61.27101,12.58218,10.29111,22.37127,21.00134,3.257,42.32383,68.83669,37.18787,18.24695,4.15902,67.68313,37.34732,59.73178,22.69895,91.63657,6.50998,2.72139,43.52576,28.69068,16.78047,58.81624,26.52515,19.967,40.1447,67.40465,45.40127,49.67137,42.55361,67.03024,41.15109,78.72536,30.02969,54.42878,33.78235,54.68535,14.88217,1.68704,33.79842,66.7295,49.26193,22.56979,79.07557,64.52948,80.4357,42.38966,54.30807,36.81434,6.01521,0.32349,86.03068,5.37265,9.404,23.90811,41.28508,84.53431,43.46652,30.92194,64.25811,20.03786,36.55822,52.51554,80.06474,55.11668,62.43773,43.86233,59.09543,52.97896,39.20238,75.00248,40.64791,70.5646,50.15638,78.50976,57.27609,37.99136,57.28178,44.36814,48.45549,60.21243,36.44595,0.19707,3.17385,0,1.28242,0.76353,58.62225,36.63318,64.46333,16.56431,33.08175,26.08625,48.19533,75.98648,72.66086,1.57322,6.01543,54.66183,69.81855,57.96313,70.45811,70.45019,51.53566,14.04208,55.66231,10.39104,65.78222,76.12976,50.01327,81.73679,67.62728,50.63542,48.25907,0.83678,40.24942,55.13507,20.27181,90.52427,2.68227,64.16868,44.3429,93.50219,13.40952,71.33455,36.53791,72.10021,92.93636,91.89482,62.80043,32.87638,37.75462,86.60755,64.56927,81.0739,64.77527,20.63565,3.32207,55.96441,65.01388,51.4653,25.63437,31.07463,20.91702,49.47455,0.701,10.8499,0.08401,89.52108,51.55702,33.31676,16.22722,82.47661,4.37948,3.53206,0.06776,0.2207,0.03277,3.46714,12.85348,0.03683,4.48777,75.14964,1.37598,0,4.65112,4.15856,6.11824,33.56623,35.74803,3.98789,60.09723,49.53052,57.17355,95.13321,92.18235,23.54008,50.38881,56.07937,27.54156
"k__Bacteria|p__Firmicutes",25.77671,72.7612,28.48622,39.00491,26.19589,42.0049,57.07333,59.40554,9.64199,29.38098,51.14325,55.29568,44.12669,45.77594,1.12383,0.85669,9.78385,65.78793,25.11678,25.40716,8.16857,13.86216,29.37449,7.28984,43.54395,56.54266,15.89572,55.49084,21.98785,22.15303,34.95837,48.71823,36.07384,7.7626,29.16735,40.85691,0.63492,2.78489,71.43565,23.47023,17.27826,5.63046,12.60917,24.84779,12.43109,20.66407,21.69265,25.00473,32.66927,14.693,14.5168,55.43718,83.48295,66.19101,6.80213,32.06289,27.33899,25.05518,50.20342,68.6967,25.27594,6.26215,14.76733,27.96588,39.86446,7.41444,72.36764,7.35939,42.04096,44.64112,55.7937,16.83032,68.83369,30.22536,41.7837,18.5648,33.11117,12.25941,37.47584,20.44162,40.54044,7.04468,55.90858,15.20646,13.79249,25.63136,57.41414,87.42898,53.45453,26.80514,43.48227,41.61228,16.44997,21.1136,9.98632,20.45086,19.92792,12.14171,24.6654,83.74073,9.64548,30.91307,85.53599,65.20494,53.59797,13.03496,42.17951,10.2797,28.32558,72.2185,49.92547,35.68549,16.98651,41.57305,33.52851,26.36917,11.78192,45.02346,41.80234,18.71388,49.00252,23.89677,42.02671,18.79984,39.5328,56.47625,42.71822,25.47764,31.97136,30.30318,30.66446,93.59883,96.43911,99.30386,50.88878,89.22117,33.40312,46.09898,29.42809,79.17791,60.971,17.24022,26.85094,19.27891,21.87325,98.42678,92.94352,43.29868,19.02326,15.43065,12.84808,25.57147,16.80163,24.71542,15.82827,86.82872,34.2064,15.73517,27.85331,15.41638,24.17049,44.78587,15.05752,1.30824,41.4005,35.02423,66.68204,8.01491,30.21949,12.74811,27.54142,5.76615,35.5347,15.07281,59.55631,25.01957,3.12005,6.33416,30.43898,53.18016,50.73395,13.18601,35.0408,13.2939,32.9926,75.71293,96.4601,11.70422,24.54054,28.87657,33.68968,56.76536,62.5021,41.51175,92.75437,87.55125,98.45277,9.08247,44.68655,58.69475,48.53721,15.99369,49.24411,72.75791,98.39219,98.80512,99.27193,92.37478,81.20531,99.96317,38.25418,19.27135,86.42508,67.29247,51.39307,64.77255,44.39823,27.70351,42.93625,51.78686,11.34502,39.15207,34.9122,1.49922,3.57477,21.74423,37.05818,13.9589,45.19273
"k__Bacteria|p__Verrucomicrobia",4.74376,0.17705,0.08922,0,0.03099,8.9778,0,1.51892,0,0.2291,0.82211,0,0,0,0,0,0.01079,0,0,0.25839,3.15609,1.6802,0,0.37941,0.00869,1.60629,0.09687,0.26343,0.65842,38.57401,2.78927,0.38532,1.6218,16.19023,1.79343,0.17576,0,0,0,0,0.5846,0.00136,0,0.15763,0.00375,0.02783,0.05727,0.03558,0.05287,0,0.04686,0,0.01601,0.40544,0.06284,7.25645,0,0.26003,0.42715,0.45124,0.40143,0,0.08025,7.27005,29.2244,0.09825,6.25904,1.05013,0.13899,0.0251,0,0.18744,0,0.16774,0.09847,0.04725,0,22.93909,0,5.12062,0.04701,0.00144,10.40838,9.64425,0,0.40265,0.72616,0.02533,0.02711,0.14389,1.39203,1.3796,0,0.59456,0,0,2.76712,3.26648,16.5799,0,0,0,0.11615,0.44333,0,0.00292,2.62293,57.66074,0.54862,0.44153,4.77309,0.63585,1.11836,0.03547,0.08611,0,0,0,0,0,0.89484,0,0,0.03051,0,0.02705,0,0.00582,0.06831,0.0156,0,0.08001,0.28468,0,3.91557,0.09868,0.03296,0,0.49223,0.1254,0.05293,51.57684,0.13508,0,0,0,0.01361,0.03173,0.154,24.88878,1.74162,0,14.19192,29.39934,0.19901,0,0,0,0.01323,0.95394,0.66285,0.00131,0.59066,0.06332,0,0,0,0.1198,63.77711,19.52979,0.12009,0.16649,0,7.4778,0.00168,0,0.01023,0,1.73853,1.49732,6.32293,0.04299,0.01949,1.56894,0.00785,0.80524,0.09171,0.06058,0,0.29506,0.11996,7.52876,1.21426,0,0.02832,0.18014,0.05818,0,3.1198,0,0.71177,0,25.97636,0.03778,0,0.00527,0,0.04018,0.29513,0,29.82982,0,0.03347,0,0,0.18129,0,0.54087,0.94806,0,0.03982,0.00387,0,0,0,0.07597,3.49754,0.97795,0
"k__Bacteria|p__Proteobacteria",0.68321,1.05766,0.40823,3.16882,1.03817,3.25074,0,0.95346,1.35813,0.24875,1.86249,12.13666,8.34895,0.02051,96.12165,94.85561,13.015,9.38201,0.58746,17.54902,72.25578,0.87053,5.54897,82.65854,2.00891,16.65765,25.15551,21.12113,23.84288,8.14578,0.50006,30.96715,20.88636,0.80415,4.27239,21.67093,84.65053,0.19009,1.03711,10.57787,7.76223,14.27922,0.69901,6.22984,10.7853,2.57952,7.80124,9.47331,6.75421,62.34737,11.9931,28.64807,2.00103,9.12171,59.18148,55.71804,27.56275,3.80573,6.95556,6.73857,68.05477,25.98805,46.98802,2.33424,0.28913,0.67958,4.22128,88.2001,12.11867,24.53838,15.27165,2.09484,3.38514,42.53598,16.77421,12.68186,20.16349,9.58468,16.76128,1.54927,0.5844,9.5299,2.97225,17.35117,50.84897,13.40904,25.48573,10.59723,4.9662,3.33328,2.35202,32.41301,3.76761,12.2276,3.11254,14.20911,12.85051,22.41464,51.83391,5.45009,0,50.88286,4.14136,5.12791,3.0728,1.00464,8.51746,0.68509,3.25618,0.64438,5.70576,2.93651,0,2.41351,3.25609,22.99955,0.07493,0,18.74815,6.05292,0.25293,0,0,2.4562,2.29859,0.44116,0,30.13446,19.44973,9.38372,32.56011,5.99883,0,0.01823,43.48612,9.72339,7.60846,15.23495,3.3165,0.76008,1.36927,2.49667,22.10685,4.14644,1.03609,0,0.68686,0.21872,5.18418,1.27268,13.08148,0.06485,17.31243,25.61592,0.33831,1.63194,0,3.34683,20.45368,1.39606,1.15339,0.98549,6.02029,97.68732,2.14725,0.29945,2.17303,1.22593,0.67451,2.21214,0.31367,0.18976,26.06416,3.38116,0.31618,0.15164,0.0522,0.25486,4.7299,6.6602,1.28316,0.09077,0.08583,3.73615,1.75633,0.32861,0,9.0724,0.06325,1.00485,34.05545,1.6779,14.91865,3.62135,5.78725,0.55853,0.34208,0,0.46631,0.51054,4.28686,0.87236,0.07336,0,1.45765,0.16058,0.6953,0.07771,5.61087,0,0.37042,0.63179,10.52395,29.15206,32.2166,28.50017,7.57127,8.5935,0,8.92273,27.55028,0.59129,4.98512,0.2889,0.12742,5.24597,4.86839,18.80844,0.25188
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",28.80533,24.34843,69.2072,55.0055,59.93842,38.4318,10.60902,16.8022,85.0548,63.34371,34.84714,23.16061,44.79503,35.57679,2.75452,2.3858,76.55385,21.37684,70.1369,54.16656,11.01583,67.34937,64.1945,2.91958,52.17677,12.56676,54.27641,13.52788,49.09413,30.39001,60.80112,16.98603,39.45908,71.67074,53.00572,35.4761,10.63267,95.72488,25.53442,65.15426,71.27588,79.65969,84.836,67.85606,75.52586,66.28991,66.93188,65.23025,57.55567,17.37721,61.27101,12.58218,10.29111,22.37127,21.00134,3.257,42.32383,68.83669,37.18787,18.24695,4.15902,67.68313,37.34732,59.73178,22.69895,91.63657,6.50998,2.72139,43.52576,28.69068,16.78047,58.81624,26.52515,19.967,40.1447,67.40465,45.40127,49.67137,42.55361,67.03024,41.15109,78.72536,30.02969,54.42878,33.78235,54.68535,14.88217,1.68704,33.79842,66.7295,49.26193,22.56979,79.07557,64.52948,80.4357,42.38966,54.30807,36.81434,6.01521,0,86.03068,5.37265,9.404,23.90811,41.28508,84.53431,43.46652,30.92194,64.25811,20.03786,36.55822,52.51554,80.06474,55.11668,62.43773,43.86233,59.09543,52.97896,39.20238,75.00248,40.64791,70.5646,50.15638,78.50976,57.27609,37.99136,57.28178,44.36814,48.45549,60.21243,36.44595,0.19707,3.17385,0,1.28242,0.76353,58.62225,36.63318,64.46333,16.56431,33.08175,26.08625,48.19533,75.98648,72.66086,1.57322,6.01543,54.66183,69.81855,57.96313,70.45811,70.45019,51.53566,14.04208,55.52816,10.39104,65.78222,76.12976,50.01327,81.73679,67.62728,50.63542,48.25907,0.83678,40.24942,55.13507,20.27181,90.52427,2.68227,64.16868,44.3429,93.50219,13.40952,71.33455,36.53791,72.10021,92.93636,91.89482,62.80043,32.87638,37.75462,86.60755,64.56927,81.0739,64.77527,20.63565,3.32207,55.96441,65.01388,51.4653,25.63437,31.07463,20.91702,49.47455,0.21935,10.84657,0.07988,89.52108,51.55702,33.31676,16.22722,82.47661,4.37948,3.53206,0.03667,0.2207,0,3.46714,12.56908,0.03683,4.48777,75.14964,0.61697,0,3.17681,2.11527,5.49329,33.56623,35.74803,3.31895,60.09723,49.53052,57.17355,95.13321,92.18235,23.53604,50.38433,56.07937,27.54156
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",21.64208,0.37811,0.32001,0.77466,5.86486,1.71475,25.07034,16.84164,2.46134,0.8412,3.21198,6.79431,1.43955,17.02534,0,1.9019,0.18885,0.69636,0.46151,2.32943,4.7691,0.71935,0.57997,1.70462,2.0017,7.35327,0.51831,6.85164,2.46899,0.11039,0.00477,0.33977,0.38505,2.60313,2.21328,1.51879,3.14941,1.19005,1.01319,0.44141,2.76679,0.31052,0.90076,0.03909,0.79559,2.7696,0.08418,0.00432,0.52742,4.16847,2.77671,1.91257,2.15606,1.17789,4.85982,0.46353,0.4735,1.69445,2.02074,4.93871,0.36139,0.06667,0.67924,1.49859,2.82757,0.11515,10.17732,0.35347,0.84892,1.38425,0.36604,3.86849,0.82476,0.14097,0.73373,0.56859,0.42992,3.67316,2.9465,3.20479,1.23865,2.52607,0,0,0.62223,5.8716,0.23153,0,6.39917,1.34464,1.25875,0.71367,0.19797,0.33387,6.25234,22.95037,3.21082,24.93735,0.18161,6.17615,4.32384,11.32392,0.76263,0.18517,0.86198,0.61433,2.2313,0.26756,0,1.31577,1.59479,3.88993,0.33179,0.58689,0.43163,0.74946,28.1767,0.96746,0,0.11163,1.39827,5.38027,3.12268,0.18303,0.27804,0.15238,0,0,0,0.00182,0,0,0,0.42143,0,0,0,0,1.76533,1.95883,4.52505,0.72763,1.66144,0.2369,1.81495,0,0.22928,0.14158,1.34828,0.07361,0.00232,2.89797,0,0.00757,0.81555,0.08319,0.00366,4.78823,0.32469,0,2.67835,1.68862,0.55417,0.10434,2.94831,0.79124,9.97198,0.00632,0.21497,0.24063,0.36978,0.18144,20.32359,0.49763,2.04476,0.40611,0.0377,0.2907,0.04179,0.87609,0.96761,0.0674,0.27274,0.25786,0.23869,0.08508,0.08474,21.25437,10.21552,18.2997,6.16861,0.12845,0,4.11997,0.51934,0.43388,0.46751,1.38775,0.15259,7.23049,2.12726,0.23226,2.98978,0.16806,0,0,0,0.0594,0,0,5.43458,0,0,0,0.57986,1.0539,0,14.89212,14.7425,0.01624,0,4.7571,1.61072,2.99583,4.08481,47.09611,2.02057,7.59224,11.15316
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",18.34892,1.27754,1.48129,2.04612,1.74445,2.89473,7.24731,4.47824,0.36552,1.21829,7.57284,2.21801,0.62378,1.58013,0,0,0.4294,2.60815,3.68739,0.28788,0.61195,14.30933,0.30206,4.91475,0.23052,4.02046,0.40648,1.39389,0.34914,0.39741,0.83585,0.34913,0.89055,0.92726,0.34718,0.30151,0.93248,0.09818,0.97962,0.26037,0.33223,0.1049,0.95505,0.49628,0.4584,7.65131,3.42927,0.20601,2.44056,0.00296,0.38719,1.42,2.05284,0.72632,8.09239,0.33398,2.30092,0.34791,2.74277,0.92783,0.08632,0,0.10048,0.95205,1.88549,0.0525,0.38543,0.31553,1.27917,0.50825,0.15171,8.06635,0.43126,6.96295,0.46519,0.73285,0.85934,1.55393,0.26277,2.65346,13.27893,2.17255,0.6811,3.36934,0.94456,0,1.26027,0.26142,1.35457,1.64354,2.23479,1.18949,0.48246,0.78062,0,0,6.52457,0.42548,0.47179,3.80265,0,1.50749,0.03987,0.38977,1.11364,0.35852,0.98228,0.18498,3.61151,0.78341,0.97802,2.84714,1.4986,0.26899,0.19965,6.01949,0.20926,1.03012,0.24713,0.11235,3.78009,0.14085,0.04836,0.02065,0.58459,4.68352,0,0.01394,0.0551,0.02063,0,0.12526,0,0,0.42711,0.19323,0.00867,1.88134,0.53452,1.41347,0,1.8724,1.05035,0.13371,2.56344,0,0.08182,1.20631,0.42199,0.31305,1.04632,1.01552,0.15837,6.21731,26.89593,1.0651,0,0,0.43404,0.49683,3.70765,1.90329,0,0,0,0.88786,0,0.09306,1.9755,0.20565,0.16929,0.19398,0,2.23607,1.54315,2.32247,3.84347,1.22547,0.25036,0.99261,2.03229,0.00527,0.00934,0.06925,0.20281,2.43248,0.04138,0.22778,0.16548,0.04182,0.33193,2.8249,0.44797,1.17927,0.01973,0.18506,0.55989,0,0.01773,0.10849,27.58421,0.37399,17.3369,0,0,0,0,0.00638,0.03521,0,21.62323,0,0,0,0,0,0,13.72117,2.4629,2.60763,0.34267,5.79929,0.98918,0.08284,0.03066,1.6394,0.82451,0.18508,13.7185
"k__Bacteria|p__Firmicutes|c__Clostridia",9.93834,0.40373,3.16124,15.12959,0.31504,2.76501,11.17357,21.02872,0.80918,9.33603,23.09815,1.88986,1.48206,19.30379,0.94132,0,3.54012,41.4797,11.41957,7.45807,3.64069,3.5817,0.60565,1.9444,6.28255,27.36049,1.25707,34.14428,2.22939,19.87646,32.72962,0.524,4.19881,5.40853,2.29609,22.20504,0.44944,0.82136,63.44859,0.80193,7.03293,1.75759,0.64796,13.00097,10.91379,15.91387,8.06119,22.43437,28.13476,0.23058,1.74144,0.14452,82.39928,61.30136,0.65825,4.70316,20.66616,17.45241,41.32834,19.05067,2.74281,0.40426,2.7386,19.3022,20.72567,2.20909,69.04301,0.77526,29.94521,28.12917,50.14637,10.33697,12.59347,14.57512,25.69359,15.12391,0.19083,5.64265,1.0812,10.67295,21.32798,1.85271,54.15781,5.52317,1.85676,0.45947,44.5126,69.90041,7.09597,3.62146,40.39053,37.70641,0.68498,4.30223,0.00587,0,5.85103,6.14236,1.86571,0,0,14.29787,6.22993,9.82346,15.9431,7.01066,36.58062,7.24541,15.7802,47.63861,25.24803,28.37575,10.96408,26.87429,1.8037,2.20509,1.53902,44.00399,31.93217,10.83507,18.61438,18.93774,38.05543,17.89909,6.90104,26.90916,2.62238,18.26775,27.12398,24.99827,1.52086,69.99342,0,0.02889,3.24959,70.8506,23.69595,29.64984,11.28404,51.89566,1.91857,12.87303,0,7.79781,11.71621,95.77854,70.76784,37.08773,1.53445,8.4693,9.52408,24.24563,13.32984,18.16353,0.36361,68.13808,11.3275,1.89391,2.34342,3.91514,14.16565,18.7452,8.47725,0,7.84159,3.36419,0.18752,7.88685,4.48431,3.58695,12.76822,0.42535,0,3.3893,3.23559,8.99602,2.78394,4.23884,27.49895,37.95435,39.48549,1.54495,0.03941,1.70136,1.56311,37.42804,19.88384,4.53118,0.03603,0.9564,3.68339,50.97096,17.85946,27.67217,0.18781,1.07816,0,0,14.64741,0.08188,39.72966,11.01215,26.43546,0.1132,0,0.18814,0,3.71481,0.07716,0,16.91216,0.26874,0,0,0,0.07524,0,15.62022,19.53419,23.49947,10.72736,37.01448,26.69431,0.04749,0.06386,3.15908,24.60732,8.10602,40.65548
